Timestamp,Target smell,AromaGen Ratio,Similarity (1-7),Feedback,Session ID
8/13/2026 17:24:04,korean bbq beef patty,"Clove Bud + Cumin 15%, Thyme + Olive Leaf + Seaweed + Garlic 50%, Birch tar oil + Coffee + Clove Bud 35%",2,"That one felt worse. It felt like a more jumbled mix of scents that I couldn't really make heads or tails of. I think you should still keep some of the sweetness at a low percentage, but swap with the umami and smokiness because the umami is too overpowering to smell anything but that, and it didn't mix well with the spices. So I think add a little bit of spices, a tiny percent, as well as keeping some of the sweetness from 4 and reduce the umami by a ton.",3be63f9c-9126-41b4-8693-b5389b4fca28
8/13/2026 17:27:42,korean bbq beef patty,"Vanilla Sugar + Almond Extract 14%, Clove Bud + Cumin 6%, Thyme + Olive Leaf + Seaweed + Garlic 12%, Birch tar oil + Coffee + Clove Bud 68%",3,,3be63f9c-9126-41b4-8693-b5389b4fca28
8/13/2026 17:32:02,Hot dog with hot sauce,"Vinegar 10%, Clove Bud + Cumin 38%, Thyme + Olive Leaf + Seaweed + Garlic 20%, Sandalwood 24%, Vanilla Sugar + Almond Extract 8%",2,"I think adding a touch of sweetness, lowering the umami, increasing the smokiness, uh, yeah, let's try that with maybe a little bit of spice as well.",4a182944-5f8a-4d88-9da8-ce3f2d4230f2
8/14/2026 12:57:13,orange,Orange + Lemon 100%,7,,0e3f517a-0efd-4033-8ef4-382a670cf87f
8/14/2026 12:59:04,mango,"Orange + Lemon 55%, Lavender + Rose 20%, Benz Sal 25%",4,"The lavender smell was too strong, but the sweet fruity smell was very good. So maybe remove the lavender smell or make it less prominent.",29c27a62-c044-4dba-8012-1ac838ae6094
8/14/2026 13:00:00,mango,"Orange + Lemon 38%, Vanilla Sugar + Almond Extract 62%",5,"The sweetness is really good, but I think it needs a little bit more of like a citrusy note. So maybe add a little bit of citrus, but just a little bit, not too much.",29c27a62-c044-4dba-8012-1ac838ae6094
8/14/2026 13:01:20,mango,"Orange + Lemon 38%, Vanilla Sugar + Almond Extract 62%",6,,29c27a62-c044-4dba-8012-1ac838ae6094
8/14/2026 13:03:11,Lime soda (Sprite),"Orange + Lemon 82%, Vanilla Sugar + Almond Extract 18%",6,,a63145ba-7a30-4dae-a876-4de93c088774
8/14/2026 13:04:40,lemonade,"Vinegar 35%, Vanilla Sugar + Almond Extract 65%",3,I smell a lot of vinegar. I feel like and the citrus smell was too sweet so I feel like it needs to be a little bit more bitter and a little bit more strong of a lime or lemon smell.,455a9288-760f-4f38-b19c-9ef6b8618a94
8/14/2026 13:06:40,lemonade,"Orange + Lemon 88%, Thyme + Olive Leaf + Seaweed + Garlic 12%",5,,455a9288-760f-4f38-b19c-9ef6b8618a94
8/14/2026 13:09:15,whiskey and oak candle,"Cognac 55%, Birch tar oil + Coffee + Clove Bud 25%, Vanilla Sugar + Almond Extract 20%",4,"The birch tar smell was a little bit overwhelming, so it was too smoky. Maybe utilize some of the other scents, like increase the ratio of the other scents and minimize the birch tar one.",15498b1b-76a3-474d-940b-47517540e6c1
8/14/2026 13:10:36,whiskey and oak candle,"Cognac 38%, Benz Sal 27%, Birch tar oil + Coffee + Clove Bud 7%, Vanilla Sugar + Almond Extract 28%",4,"remove floral and birch tar, keep the rest",15498b1b-76a3-474d-940b-47517540e6c1
8/14/2026 13:15:08,whiskey and oak candle,"Cognac 58%, Vanilla Sugar + Almond Extract 42%",5,,15498b1b-76a3-474d-940b-47517540e6c1
8/14/2026 13:17:27,patchouli,"Eucalyptus 28%, Sandalwood 72%",6,,6d5ae792-abaa-49ca-830c-09564e7349fe
8/14/2026 13:19:20,birch,"Clove Bud + Cumin 25%, Birch tar oil + Coffee + Clove Bud 75%",1,"be a little bit more, well, a lot more minty and sweet. Yeah.",f6e75baf-7e20-46d4-857c-224badf190ed
8/14/2026 13:20:46,birch,"Orange + Lemon 30%, Lavender + Rose 25%, Vanilla Sugar + Almond Extract 38%, Birch tar oil + Coffee + Clove Bud 7%",2,Right now it's too fruity and smoky. It doesn't need to be smoky. I feel like it needs to be a little bit more medicinal. So like a medicine like mint almost sickly. Like it makes you sick how minty and sweet it is.,f6e75baf-7e20-46d4-857c-224badf190ed
8/14/2026 13:22:03,birch,"Lavender + Rose 38%, Benz Sal 20%, Vanilla Sugar + Almond Extract 42%",2,"It should be more minty, maybe add a little bit of sandalwood, a lot more eucalyptus, and a lot more vanilla, sweet smell.",f6e75baf-7e20-46d4-857c-224badf190ed
8/14/2026 13:22:55,birch,"Eucalyptus 50%, Vanilla Sugar + Almond Extract 42%, Sandalwood 8%",3,,f6e75baf-7e20-46d4-857c-224badf190ed
8/14/2026 13:25:04,wooden incense,"Clove Bud + Cumin 25%, Benz Sal 30%, Birch tar oil + Coffee + Clove Bud 45%",3,"Make it a little less smoky and yeah, increase the other notes more.",1c164c0b-8c93-4f57-afb0-a9a1ed3a14d4
8/14/2026 13:26:27,wooden incense,Clove Bud + Cumin · 27% Benz Sal · 29% Birch tar oil + Coffee + Clove Bud · 10% Sandalwood · 34%,3,"Remove the birch tar, maybe make it more complex.",1c164c0b-8c93-4f57-afb0-a9a1ed3a14d4
8/14/2026 13:28:02,wooden incense,"Cognac 9%, Lavender + Rose 13%, Clove Bud + Cumin 21%, Benz Sal 24%, Sandalwood 33%",4,Add a small amount of a fruity note.,1c164c0b-8c93-4f57-afb0-a9a1ed3a14d4
8/14/2026 13:29:04,wooden incense,"Clove Bud + Cumin 27%, Benz Sal 29%, Birch tar oil + Coffee + Clove Bud 10%, Sandalwood 34%",5,,1c164c0b-8c93-4f57-afb0-a9a1ed3a14d4
8/14/2026 13:43:29,basil,"Orange + Lemon 25%, Thyme + Olive Leaf + Seaweed + Garlic 75%",2,There wasn't a very strong scent of basil. It could be stronger. It also just smelts more fruity than like a basil smell.,591b26bd-0499-426c-8b6c-e1068c9ab513
8/14/2026 13:45:24,basil,"Eucalyptus 12%, Thyme + Olive Leaf + Seaweed + Garlic 80%, Sandalwood 8%",3,"It's still not nearly as strong as basil, um, it's also, there's like this faint, slightly, not toxic, just like a faint, slightly negative scent, um, that's interfering and it's still too fruity to me.",591b26bd-0499-426c-8b6c-e1068c9ab513
8/14/2026 13:47:50,basil,Thyme + Olive Leaf + Seaweed + Garlic 100%,3,Can you make it a stronger mint flavor and a stronger basil flavor? Can you make it less umami flavoring?,591b26bd-0499-426c-8b6c-e1068c9ab513
8/14/2026 13:48:32,basil,"Eucalyptus 42%, Thyme + Olive Leaf + Seaweed + Garlic 58%",4,,591b26bd-0499-426c-8b6c-e1068c9ab513
8/14/2026 13:50:26,minty chewing gum,"Eucalyptus 72%, Benz Sal 28%",2,"Can you make it a more stronger spearmint flavor, more similar to chewing gum, make sure there's more mints?",7bf2cf02-2052-4cdc-a052-0328071b0c79
8/14/2026 13:54:05,minty chewing gum,"Eucalyptus 48%, Benz Sal 14%, Eucalyptus 38%",4,it's very strong eucalyptus flavor now but it's less spearmint flavored if the mint part could be stronger that would be good,7bf2cf02-2052-4cdc-a052-0328071b0c79
8/14/2026 13:56:16,minty chewing gum,"Eucalyptus 34%, Benz Sal 25%, Vanilla Sugar + Almond Extract 12%, Eucalyptus 29%",5,Can it be more strongly vanilla flavored as well as more on the mimt side a little bit less,7bf2cf02-2052-4cdc-a052-0328071b0c79
8/14/2026 13:57:15,minty chewing gum,"Eucalyptus 20%, Benz Sal 20%, Vanilla Sugar + Almond Extract 60%",5,,7bf2cf02-2052-4cdc-a052-0328071b0c79
8/14/2026 13:59:53,cucumber,"Eucalyptus 20%, Lavender + Rose 50%, Benz Sal 30%",4,"Maybe stronger scents of the cucumber, a little bit less sweet, and a little bit more cucumber-flavored.",fc0a4375-cb60-4221-a47c-7571f30bd84d
8/14/2026 14:01:17,cucumber,"Eucalyptus 45%, Thyme + Olive Leaf + Seaweed + Garlic 35%, Orange + Lemon 20%",5,"Can it be a stronger cucumber scent, like a little bit more, like bolder, a lot sweeter still?",fc0a4375-cb60-4221-a47c-7571f30bd84d
8/14/2026 14:03:52,cucumber,"Eucalyptus 22%, Thyme + Olive Leaf + Seaweed + Garlic 46%, Vanilla Sugar + Almond Extract 32%",4,Can you increase the fruity smell a little bit and also increase the eucalyptus scent?,fc0a4375-cb60-4221-a47c-7571f30bd84d
8/14/2026 14:04:50,cucumber,"Eucalyptus 46%, Thyme + Olive Leaf + Seaweed + Garlic 36%, Lavender + Rose 11%, Vanilla Sugar + Almond Extract 7%",4,,fc0a4375-cb60-4221-a47c-7571f30bd84d
8/14/2026 14:06:44,peppermint tea,"Orange + Lemon 45%, Lavender + Rose 55%",4,can you increase the peppermint smell make it more mintier and also like a richer smell,035eb057-7eba-4638-82c9-a2690bcf1554
8/14/2026 14:10:51,peppermint tea,"Orange + Lemon 15%, Lavender + Rose 45%, Thyme + Olive Leaf + Seaweed + Garlic 30%, Clove Bud + Cumin 10%",5,,035eb057-7eba-4638-82c9-a2690bcf1554
8/14/2026 14:13:47,apple pie,"Vinegar 12%, Clove Bud + Cumin 28%, Benz Sal 60%",2,"Can you increase the fruity smell of it? Specifically make it more apple scented and more like pie filling, a little bit less sour and less vinegar.",39176579-56e3-435c-bbe4-fbe7365fbc1c
8/14/2026 14:15:30,apple pie,"Lavender + Rose 25%, Vanilla Sugar + Almond Extract 48%, Clove Bud + Cumin 15%, Benz Sal 12%",3,Can you take away the lavender scent and add in more citrus scent? Can you also make it a little bit richer and less floral?,39176579-56e3-435c-bbe4-fbe7365fbc1c
8/14/2026 14:17:22,apple pie,"Orange + Lemon 22%, Thyme + Olive Leaf + Seaweed + Garlic 42%, Birch tar oil + Coffee + Clove Bud 28%, Vanilla Sugar + Almond Extract 8%",5,"Can you keep the citrus, but then make it more savory, increase the like roasted, savoury scent of it?",39176579-56e3-435c-bbe4-fbe7365fbc1c
8/14/2026 14:18:59,apple pie,"Orange + Lemon 32%, Thyme + Olive Leaf + Seaweed + Garlic 53%, Vanilla Sugar + Almond Extract 15%",5,Can you remove the smoky flavor and make it more similar to like a pastry and bread?,39176579-56e3-435c-bbe4-fbe7365fbc1c
8/14/2026 14:20:04,apple pie,"Orange + Lemon 15%, Clove Bud + Cumin 25%, Vanilla Sugar + Almond Extract 60%",6,,39176579-56e3-435c-bbe4-fbe7365fbc1c
8/14/2026 14:22:50,sweet popcorn,"Vanilla Sugar + Almond Extract · 75%
Sandalwood · 25%",4,"Can you increase the butteriness of the popcorn and also like the popcorn flavor as a whole? Um, make it a little bit less, like, savory.",c9174462-17e2-4be3-9914-df68e6179940
8/14/2026 14:24:30,sweet popcorn,"Vanilla Sugar + Almond Extract · 65%
Sandalwood · 25% Birch tar oil · 10%",3,"Can you get rid of the sandalwood flavor as well as the smoky flavor, make it more sweet but also more like rich in taste and buttery?",c9174462-17e2-4be3-9914-df68e6179940
8/14/2026 14:25:31,sweet popcorn,"Cognac 6%, Vanilla Sugar + Almond Extract 94%",4,,c9174462-17e2-4be3-9914-df68e6179940
8/14/2026 14:28:43,dark chocolate,"Birch tar oil + Coffee + Clove Bud 62%, Vanilla Sugar + Almond Extract 38%",2,"Can you increase the cocoa scent, like chocolate part of it and reduce any of the like sourness or any other like sandalwood or other flavors?",785715eb-4feb-49c4-b508-1867daccadc1
8/14/2026 14:30:35,dark chocolate,"Birch tar oil + Coffee + Clove Bud 70%, Vanilla Sugar + Almond Extract 30%",3,"Can you increase the chocolate scent, make it more sweeter and richer and more like food like rather than floral or any other aromas? Make sure they actually smell like food.",974ee052-f74e-4b9a-9016-d8c569f3d4da
8/14/2026 14:32:13,dark chocolate,"Birch tar oil + Coffee + Clove Bud 25%, Vanilla Sugar + Almond Extract 75%",4,"Can we try adding more of the citrus orange flavor to it, getting more of the cocoa flavor?",974ee052-f74e-4b9a-9016-d8c569f3d4da
8/14/2026 14:33:59,dark chocolate,"Orange + Lemon 27%, Vanilla Sugar + Almond Extract 45%, Birch tar oil + Coffee + Clove Bud 28%",4,"Can you reduce the smokiness, but add some bitterness, more of like a deeper, darker flavor?",974ee052-f74e-4b9a-9016-d8c569f3d4da
8/14/2026 14:34:59,dark chocolate,"Orange + Lemon 8%, Vanilla Sugar + Almond Extract 54%, Cognac 18%, Birch tar oil + Coffee + Clove Bud 20%",5,,974ee052-f74e-4b9a-9016-d8c569f3d4da
