session_id,day,original_sentence,feedback_text,changes_made,code,notes,suggested_code,scent_quality,direction,needs_review
23be0f7d-7bb2-4501-a36b-d49bd3bf4e62,6/15/26,"Oh, okay, okay. City, New York City. Okay. Like a memory in Singapore or...","I went to Marina Bayside. It's a really beautiful building. And there are plants. Shokubutsuen. Can I speak Japanese? Yes, yes. Yakiniku is very popular. Yes. Shokubutsuen seems really good. But a bit wet, humid. Climate is famous Japanese summer. I really like it.",Replaced 'Citronelly acet' and 'Lavendar oil' with 'Garlic' and 'Cilantro' to better reflect the food and climate experiences indicated in the feedback.,floral,,,Fragrant,,
23be0f7d-7bb2-4501-a36b-d49bd3bf4e62,6/15/26,"Oh, okay, okay. City, New York City. Okay. Like a memory in Singapore or...","I smell very garlic, so very wild and because I like garlic, very good taste, thank you.",Increased duration of Garlic and adjusted Cilantro's duration to maintain the 30s total while emphasizing the favorable scent.,spicy/pungent,,,Pungent,,
23be0f7d-7bb2-4501-a36b-d49bd3bf4e62,6/15/26,"Oh, okay, okay. City, New York City. Okay. Like a memory in Singapore or...","I tried to smell another smell, maybe more fresher, maybe, yeah, I really want to try it out. It's sometimes really hard to describe, it's hard to describe the product.",Replaced Cilantro with Spearmint to introduce a fresher smell; adjusted durations to keep the total at 30 seconds.,,noise,,Noise,,
4276d46d-b4e9-4c10-8364-9043ae5a067c,6/15/26,You should tell us about your memory or your thing. You can describe it using words. The smell that you would like to recreate. The smell I would like to recreate. Can you recreate the Joe Malone orange blossom smell for me?,"Or citrus, if you can add the smell of, say, a, I don't know what's the English word for it, but it's fo shou gan. It's a specific kind of citrus. I knew it was a raw ingredient in that particular view. Maybe a slight touch of pepper.",Replaced 'Lavendar oil' with 'Eucalipto' for a fresher dimension; added 'Sichuan oil' for a touch of pepper.,more spicy,,,Spicy,increase,
4276d46d-b4e9-4c10-8364-9043ae5a067c,6/15/26,You should tell us about your memory or your thing. You can describe it using words. The smell that you would like to recreate. The smell I would like to recreate. Can you recreate the Joe Malone orange blossom smell for me?,"What will your notes look like? For some reason it has a very industrial smell, I'm not sure if it's from the benzo, but if you can remove that, and just smell more purely focused on the citrus, citrus and sour, fruity smells, that would be great.","Removed 'Eucalipto' and 'Sichuan oil' to eliminate industrial notes, added 'Spearmint' for a fresher finish.","citrus, sour, sweeter",,,"Citrus, Sweet",,
d9617382-6561-4b1e-a155-e255ec7b4182,6/15/26,I really love the airport of Singapore. It makes me feel similar to Hong Kong and also similar to Beijing.,"No, it doesn't focus on like, sorry, what do you mean by generalizing? Like if that's a, I think it's not that white and hot scent, maybe it could be softer. That's the same for both of us. And you're like, no, like this needs to be more.",Swapped 'Citronelly acet' for 'Lavendar oil' and 'Mate NHS' for 'Benz sal' to create a softer scent profile while retaining 'Eucalipto'.,,noise,,Noise,,
e52f240d-06b0-4f79-9d4a-be54f89ee867,6/15/26,One thing I really enjoyed in Singapore is the hawker markets. I really enjoy seeing all of the different foods from different countries and different cultures and enjoying the food myself but also just watching everybody else enjoy the food and enjoy just the atmosphere.,"to it. So one of the things that I also enjoyed was watching people enjoy all the desserts, especially the shaped ice desserts, but it's so hot out also watching them melt. It's kind of funny because now it looks like something completely different.",Added 'Eucalipto' to evoke a melting dessert sensation; adjusted durations for balance.,sweeter,,,Sweet,,
74229131-165e-4fa4-ad83-3de31abaf56a,6/15/26,Roll,Yakiniku!,"Replaced all perfume scents with food scents to reflect the new feedback, ensuring a coherent food experience.",,noise,,Noise,,
16ecf790-4f7d-4f45-9eec-11de1955378d,6/15/26,"the So hopefully we'll be able to engage in conversation Yeah, so this is Sent okay, we've been doing it's we've been asking Flowery and using our system it will translate your sentence I Need to confess I have It's like",We'll do another yakiniku.,Replaced 'Lavendar oil' and 'Benz sal' with 'Garlic' and 'Sweet Potato' to focus on food scents while retaining 'Citronelly acet' for a fresh finish.,,noise,,Noise,,
90649cc7-b492-4f9f-a51f-bccd542c6dbd,6/15/26,렛츠 야키니쿠,what means it needs to be simpler it's very low I think too floral,Replaced Sweet Potato and Cilantro to remove floral complexity; added Angelica for a more herbal profile.,floral,,,Fragrant,,
89274806-4c7c-4218-921c-46e5233c669a,6/15/26,I have a memory of going to McDonald's and have a French fries and a Big Mac.,"You may say other stuff, or like how you would make this one better, to make it closer to what you had in mind. I want to add more scent of french fries. More french fries. Maybe more salty also.","Adjusted durations and added 'Angelica' and 'Mugwort' while lowering the durations of 'Garlic,' 'Sweet Potato,' and 'Cilantro' for better balance.",salty,,,Salty (unvalidated),,
462bc443-dc41-46d8-9e8a-5b6edab66265,6/15/26,I went to the night safari the day before yesterday and met a lot of wild animals in the night. I can see their movements and smell some of their smell.,"I also want to go to the botanic garden in Singapore. I hope to see a lot of different plants and trees in Singapore. If it's possible, can you give me some special scent of those botanic plants?","Replaced 'Garlic' with 'Citronelly acet' and 'Angelica' with 'Lavendar oil' to focus on floral and botanical scents, while keeping 'Eucalipto' and 'Mate NHS' to preserve earthy notes.",floral,,,Fragrant,,
b4d9536d-a376-40fa-a478-0998c390ce79,6/15/26,"Well, I was at this, like, uh, hell museum place, and then there was, like, they made some, like, figures of these, like, Chinese deities, and, like, you know, like, hell, like the 30 days of hell, the first day, you're supposed to do, you're supposed to go through this part, and then, like, they're gonna torture you, and, like, give you pain, all kinds of stuff like that.",I think it'd be a little bit sweeter. I know it's kind of strange that it's a Hell Museum is sweet but there's a lot of blood and guts. Maybe a little bit more human feeling also because there's a lot of humans in the scene.,"Swapped out original scents for 'Sweet Potato' for sweetness, 'Benz sal' for a human touch, and 'Citronelly acet' for a brighter finale instead of previous scents.",sweeter,,,Sweet,,
64a0ca48-b9b7-4fe6-8a8a-32492d4bfcab,6/15/26,"I have a nice lunch. But every time you give it feedback, it improves.",I cannot tell but eventually I can tell it's like some chili spices smell so you work with that do you want it more spicy or more more spicy masters first year,"Replaced Sweet Potato with Sichuan oil to add spiciness, while keeping the duration and structure intact.",,noise,more spicy,Noise,,
7c029fb6-8635-4e79-ab78-da1b3e9296f2,6/15/26,So the experience of walking through a late afternoon tropical environment with beautifully smelling plants.,"So it seems like in the first moment I felt that the smell was coming more from a Mediterranean area, maybe also because I read lavender, but I felt towards the end it was more tropical.",Replaced Lavendar oil with Mate NHS to deepen the tropical feel and maintain a coherent scent journey.,floral,,,Fragrant,,
4ececce1-5b2e-4557-9600-c200a4594b3c,6/15/26,So we went to the 9th Sapphira Zoo and we see tigers and lions.,"I want to smell more about, like, animals.","Replaced all previous scents with Garlic, Sweet Potato, and Mugwort to better align with the user's feedback about wanting more animal-related smells.",floral,,,Fragrant,,
1352c864-0e8c-47df-a4c6-93209b131c42,6/15/26,"My favorite moment in Singapore would be the early mornings, where it's not so hot yet and you can smell the humidity in the air, but I'm not necessarily sweating because of that. Does that work?",That's more fragrant or it needs to be like it doesn't smell like this you can give it feedback. It's more refreshing than this.,"Replaced 'Mate NHS' with 'Cilantro' for a fresher herbaceous scent and 'Lavendar oil' with 'Citronelly acet' for a brighter, refreshing top note.",floral,,,Fragrant,,
340d0df2-d3b1-4396-b2e8-4f077b7d78b6,6/15/26,I smell something citrusy like a tangerine,so I didn't give it feedback you can be like it needs to be more sour it needs to be more refreshing refreshing,Replaced Spearmint with Eucalipto to fulfill the feedback needing a more refreshing scent.,,noise,sour,Noise,,
cfc78ecc-b35a-4f3a-97f9-ecee483b786d,6/15/26,"For the purpose of this demo, I would like to remember being in a hawker center with a strong scent of chicken rice being cooked with lemongrass and notes of ginger and garlic.",I like it to be more garlicky.,"Adjusted garlic duration to 12s, added cilantro for balance, and reduced angelica duration to maintain the 30s total duration.",spicy/pungent,,,Pungent,,
3c47874b-f319-4f94-85b1-addf05f73f66,6/15/26,One of my favorite moments in Singapore was at the Botanical Gardens. There were lots of cool trees and plants and they had an orchid exhibition at the time. It was beautiful.,"Alright, I wished it smelled a bit more sweet and a bit more fresh at the same time.",Replaced Benz sal with Eucalipto to incorporate a fresher scent while keeping the sequence length unchanged.,sweeter,,,Sweet,,
0cfb5371-a7d1-4211-9003-51544986412f,6/15/26,The best moment is when I enter a room with AC and probably with Mr. Coconuts on my hand.,a little bit a tiny little bit too herbal too herbal okay but otherwise it's quite good it's like refreshing it's the feeling of when I like yeah as I said entering the room with AC okay or fresh,Reduced duration of 'Eucalipto' and replaced 'Sweet Potato' with 'Spearmint' to decrease herbal notes and boost freshness.,floral,,,Fragrant,,
6ac26329-4bea-4890-962b-78ebacc63b25,6/15/26,"Walking by the beach, I smelled a fish. I looked down. I saw a fishing net. I picked it up. It was tangled with another net. Actually, I fished it this morning, but you can take a look at the paper. I will. I definitely will. Thank you.","Maybe a bit less sweet, since it would represent Patrick.",Replaced Cilantro with Mugwort to reduce sweetness.,less sweet,,,Sweet,decrease,
3536bff6-adb7-4f6f-9659-61fe570d942b,6/15/26,"그래서 한국어, 일본어, 중국어 할 수 있나요? D.I.S 와서 친구들 만난 거? D.I.S와서 친구들 만난 거? D.I.S와서 친구들 만난 거?",Maybe I can smell some delicious food-like scents that I tasted in Singapore.,"Replaced all perfume scents with food scents, loading Garlic, Spearmint, and Sweet Potato.",wrong catridge,,,Non-scent (technical/hardware),,
b4f086aa-cdfa-44e2-9522-51d96c139642,6/15/26,I'm walking through a forest and I see many many fragrant fragrant trees and shrubs many of those could be cultivated for and to produce spices I love that,"The forest that I'm walking through exists in the state of California, Northern California to be specific.",Replaced Mate NHS with Eucalipto to reflect the Northern California forest environment.,floral,,,Fragrant,,
91837d2d-b97a-466c-b4e2-fb649ae66cf1,6/15/26,"And whenever you're ready, you should start describing. Oh, what do I describe? Talk about something that you want to smell or an experience that you have in mind. I'd love to smell a cup of coffee, freshly ground coffee. You can describe a place as well, a setting. A busy cafe in Paris where you can see the Eiffel Tower and you're having a chocolate croissant with your coffee. It smells like bread and pastries as well.","When the garlic is a little too strong and you have udders, make it a sweeter smell like sugar and chocolate.","you'd like to make? I don't know. Just based on stereotype, it's not maybe Singapore right away. So it may take second for me to link this. Something maybe more rubbery would match your memory a bit more? Plastic? Plasticky? Yeah, or something sweet. Because children involved. Yeah, like candy or something. I like it.D49",sweeter,,,Sweet,,
6b625f23-9514-43cb-8d89-43b37ab86d09,6/15/26,"library, and they use 3D painting for people that need accessibility, and I saw the studio use weird toddler wheelchair with open soles, and they use 3D painting to paint the piece of the wheelchair step by step, and just piece them together, and seeing the toddler just driving the wheelchair makes me very happy.","you'd like to make? I don't know. Just based on stereotype, it's not maybe Singapore right away. So it may take second for me to link this. Something maybe more rubbery would match your memory a bit more? Plastic? Plasticky? Yeah, or something sweet. Because children involved. Yeah, like candy or something. I like it.",Replaced Mate NHS and Citronelly acet with Sweet Potato and Garlic for sweetness and plasticity; retained Eucalipto for its fresh notes.,sweeter,,,Sweet,,
449ab364-3e05-4a9f-b59c-5252d95e54d6,6/15/26,"Oh, should I say something? Okay. Is it about the feeling? I feel nostalgic when I visit Singapore because I used to be in exchange program a very long time ago. And I thought I forgot everything, but I just pick up something while I'm walking around. Can you describe a memory that came back to you recently? Anything? Memory is not feeling. It's about anecdotes or something. Try a scent of nostalgia.","Do you feel like some like an anecdote or memory came up through the smell that you got? It helped me, so it remind me of some foggy wood, it's just before, so my visual impression of that, like what I share is about, so everything was really vague like a fog and somehow while I wandering around like the U-Town or wherever I used to been, like have been, then, sorry, it become more vivid, so once it was so vague, like a fog, then it became clear, so that's the subject that I am interested in.D49","Replaced 'Citronelly acet' with 'Eucalipto' to evoke clarity, while 'Lavendar oil' and 'Mate NHS' remain for their nostalgic qualities.",woody,,,Woody and resinous,,
08860772-6396-458c-a80f-2f2dd7c7d188,6/15/26,"What was your name? Family. Should I just shoot the keywords? Yeah. Oh, oh. Family. Yeah, I didn't know that. I just learned it yesterday. That's so effective. Yeah. Happiness. My second year. Yeah. Sounds like my luck. Oh, shit. So much.","Living overseas, exciting future.",Replaced 'Benz sal' with 'Mate NHS' and 'Lavendar oil' with 'Eucalipto' to enhance the freshness and excitement of the experience.,floral,,,Fragrant,,
08860772-6396-458c-a80f-2f2dd7c7d188,6/15/26,"What was your name? Family. Should I just shoot the keywords? Yeah. Oh, oh. Family. Yeah, I didn't know that. I just learned it yesterday. That's so effective. Yeah. Happiness. My second year. Yeah. Sounds like my luck. Oh, shit. So much.","He had one that was pretty good, yeah I had one that was pretty good, and he told me. Nature, sea life, sea animal.",Replaced 'Citronelly acet' with 'Lavendar oil' to better align with the themes of nature and sea life.,,noise,,Noise,,
b9b85e4e-fa4e-4071-9252-339944919ae8,6/15/26,"Hi, I'm talking with different people in the conference and meeting new friends.","Really complex like talking to different people is like different smell mixed Maybe it will come to like very fresh smell like different colors turning to white maybe Have synesthesia, can you see color when you smell?","Replaced Benz sal with Eucalipto and Mate NHS with Lavendar oil to enhance the freshness and complexity, maintaining the 30s total duration.",,noise,,Noise,,
b884f48a-8d10-4e52-9352-e84305bfe6cf,6/15/26,"Saya rasa mungkin saya berfikir tentang perayaan nasional Ya, apabila kami berkumpul untuk merayakan hari jadi Singapura Ya Okey Saya suka itu","The best is like Like describing smell you just describe whatever you'd like Should it be sharp should it be softer But also thinking how that link to a Parade so parade is active. So maybe it should be more active all throughout. Yeah, I think okay","Rearranged scents for a more active sequence, introduced Spearmint, and adjusted durations to fit the feedback while keeping the total duration at 30 seconds.",,noise,,Noise,,
4c3d7fde-5232-4266-9a69-44b36d51e4bc,6/15/26,"Any smell that you want or an experience that you've had somewhere here? It's probably in English or in German. Whatever you'd like. Oh, wow. Okay, thank you. Thank you so much. You have to come closer.","I remember when I was a kid and we were playing outside and then we had to get inside because it was raining and it was summer and then after that there was some kind of smell on the street. It was just fabulous and it was just like it reminds me of when I was young playing outside. It was nothing than just me, my friends and the football and then yeah, this was just some kind of smell like summer rain. I know it's it's a good known smell, but it really reminds me of my own childhood and playing with friends. I was just yeah, it was just football, friends and nothing else, right? There were no university, no academia, no striving for papers. You're really telling the PhD story.","Replaced Citronelly acet with Eucalipto (15s), added Mate NHS (10s), and adjusted duration for Lavendar oil to complete the 30s.","fruity, floral, sweet",,,"Fruity, Fragrant, Sweet",,
4c3d7fde-5232-4266-9a69-44b36d51e4bc,6/15/26,"Any smell that you want or an experience that you've had somewhere here? It's probably in English or in German. Whatever you'd like. Oh, wow. Okay, thank you. Thank you so much. You have to come closer.","To add to this, I don't know, maybe it's just, maybe it also depends on the street, right? So it was on the material, which is used on the street, how is it called in English? I mean in German it's called the Teer, right? What's the English word for Teer? Not concrete, but something for the road. Asphalt. Yeah, yeah, yeah. Something like that. Because of the asphalt and when after eight hours of pure sun on the asphalt and then the falls of rain on it, maybe it smells different than just when it's in the forest. So I could imagine this also has an effect. And yeah, that's it. Okay.",Replaced 'Lavendar oil' with 'Garlic' to enhance the asphalt scent association while maintaining overall structure.,,noise,,Noise,,
20fdb67e-d359-4f37-9d68-4b41e89c0d42,6/15/26,"Mexican taco? Mexican taco, yeah. Okay.","Like predominantly garlic So garlic. Yeah, it was predominantly garlic like fried garlic. Yeah, which was nice. I mean Yeah Maybe less prominent Yeah, I mean it was not a taco taco. It was like garlic like fried garlic, which is fine","Increased Garlic duration to 15s, kept Cilantro at 10s, added Spearmint for freshness in a 5s duration.",spicy/pungent,,,Pungent,,
b34e1fe1-0c4e-442f-8e14-1297b390b6a5,6/16/26,他會問我問題是嗎? 喔不用 你就直接開始講就可以了 就是moment 講中文也可以 好 有些什麼example嗎? 我突然不知道要講什麼 比如說去哪裡吃了什麼東西啊 有什麼味道啊 你可以去形容一下 嗯 我想一下 喔今天早上我們去了雅昆吃早餐 然後跟我們在荷蘭吃的東西比起來 它就是更甜 然後有一種很久沒有吃到這種味道的感覺 跟荷蘭吃的東西比起來 感覺雖然沒有那麼健康 但是更幸福 完美,"所謂像你聞的這個味道跟你想像中的那個味道有什麼差別嗎? 然後它會一直去改變它 嗯,現在聞起來更像 植物的味道的感覺 所以它還在 它會慢慢去改變我們的味道 嗯,有有有",Replaced Cilantro with Mate NHS for a more herbal representation; added Garlic to increase savory depth.,,noise,,Noise,,
