session_id,text,category,reason
d97e2ad2-a89b-4785-aeb5-1038c646210a,"The experience to go trip in Enoshima, which is the Japanese sightseeing spot, and then I went to the seashore with, there are huge rock, and then I smell like the summer sea, and then some kind of rotten fish, but yeah, it was so nice, is it enough?",place,manual_override
3b327ad9-87a0-49e7-8274-4277afe37276,"And then we'll start cooking. The first time I met my boyfriend was five years ago. It's recording, right? Mm-hmm. We were both college students, and I was running away from my very boring room because I didn't want to do my computer science homework, and I just saw a boy on Tinder, and he was like, let's meet in the nearby Indian restaurant. And we talked about the French language while eating prata and mutton curry. And I felt so embarrassed because I was messy, but a few years later he told me he liked that I was brave to be messy in front of him in our first date, because I was just a curry all over my fingers and stuff. But yeah, I remember that every time I smelled mutton curry, he decided, yeah, I'd like to be messy with this person.",memory,manual_override
24fa8a10-64a4-46ad-91e5-47381c581782,"I think one thing I'm missing about college is just being in a place where I can learn. And the world around me just quiets down a bit, and I'm in the library, and I just get to dive into something out of my interest and not worry about whatever's happening outside. And it's detached in a way, but it's also kind of healing. I'm just thinking of... Yeah. I don't know why that image jumped in my head very strongly when I... Yeah. I don't know how to kind of interpret that, but what do you do?",noise,facilitator_question_pattern
625ba88b-0639-4482-9852-f7ff38d773e7,"What should I say? You've been telling me about your favorite place in Singapore, your favorite meal, or something like this. Tell me more about the Marina Bay Sands. Marina Bay Sands? Yeah.",noise,facilitator_question_pattern
d05b618c-d0fd-48f0-8f3b-77bb8ae1495a,"Spicy, like, what is the most famous dish? Have to be some dishes? Yeah, it could be a food-related thing. Or maybe, yeah, we could do like, let's do maybe barbecue. Like satay, Singapore satay.",noise,manual_override
79148e7b-a22c-4f1f-a8fc-80f9d81ed98e,you,noise,single_word_no_theme_match
b3a27889-01a4-4085-947f-c584e3e4d293,Korean BBQ Satay,food,keyword_match_score_2
78832e7a-2ddd-4f1b-9570-971dc2381ca9,Satay.,food,single_word_matched_food
b45fd198-cef7-4537-ae45-f19524318823,"I want a smile from the thundering when rain is coming to the earth, that kind of smile.",nature,keyword_match_score_1
dd81c51a-beeb-4397-8870-3b35e024e46b,Sadness?,other,manual_override
34d5217b-c115-4321-9d30-3627e2ad439d,feeling like i just woke up and had a awesome sleep,other,keyword_match_score_0
d165dc5a-a477-4a0c-8cef-4656533e0026,"Like, sautéed barbecue, and then it...",food,keyword_match_score_1
fe0310a2-6594-4810-87e4-1877c9684167,The smell of forest right after it rained.,nature,keyword_match_score_2
384ae4e6-2954-4b62-ad74-3c751b48cfec,bbq,food,single_word_matched_food
08231acb-3fad-4c82-bf2f-05a58ec8d7f5,When I was in Singapore I was on a really breezy bright rooftop overlooking the skyline and I was having a very sweet and fruity cocktail.,food,keyword_match_score_1
535ea2f6-cdec-4c83-9596-50f383725708,"I came to Chinatown Singapore. I was looking for some food. I found some seafood and I had some really good steamed fish. Toward the end of the day, I actually got food poisoning.",food,keyword_match_score_3
b242e370-fb6a-4147-b6f2-991312eb62eb,I remember like a seaside so there are like a blue wave and kind of and also people are relaxing there so it's really chill and a colorful and I really like staying the time there it's makes me feel refreshing all right,nature,keyword_match_score_3
b7115911-bc6a-4208-9b67-18a616ef372d,"Vesa was at the garden in Marina Bay and out of nowhere it started to rain super heavily and we were trapped under that roof for at least half an hour and we were at the beginning a bit annoyed because we wanted to explore everything, we were on holiday for a conference and yeah, but then I realized that I don't have to do any work, I took deep breaths and I could smell all the noise, the rain and it was nice, it was like a warm clove around me and I really enjoyed that day and after that it got sunny again, we had an amazing time but that was the closing point and I realized it was nice. Thank you. Let's do it.",memory,manual_override
c7aec3f7-7afb-479f-95af-61f3cf50cbb3,"One of the best moments in Singapore was actually working through the Marina Bay and exploring the nature and the new technology applied to the nature as well. And one of my most beautiful experiences in Singapore is actually smelling the flowers. Wherever there are parks, there is this beautiful sense of flowers that I didn't experience before in other places.",memory,manual_override
5db6f762-f66d-419e-b63a-80150674006c,I went to an interesting museum about hell,place,keyword_match_score_1
f3c8184e-c5f1-40c5-b1bf-4de4d9e17192,"is walking around and smelling the Bokobila flowers, I would say about 11 p.m. at night around Orchard Road.",nature,keyword_match_score_1
023274dc-0807-45f7-93c6-4c015f896de9,"So, feel free to describe any specific moment or an experience that you've had. So, my friend was asking whether I should be going to the night zoo here in Singapore, and I feel like it might be a weird experience, given that I usually don't like to go to zoos. I did that when I was younger, but the night zoo probably is more about, you know, other kind of impressions and sensitory stuff, you know, because you see less, but you hear more, and you also feel the plants touching you and all of that. And someone else actually said that it's kind of scary when you're a kid, because it's dark and there are all those noises. Does this ever kick in? Yes. Actually, whenever you're ready.",place,manual_override
23be0f7d-7bb2-4501-a36b-d49bd3bf4e62,"Oh, okay, okay. City, New York City. Okay. Like a memory in Singapore or...",noise,high_filler_ratio_0.29
4276d46d-b4e9-4c10-8364-9043ae5a067c,You should tell us about your memory or your thing. You can describe it using words. The smell that you would like to recreate. The smell I would like to recreate. Can you recreate the Joe Malone orange blossom smell for me?,nature,manual_override
d9617382-6561-4b1e-a155-e255ec7b4182,I really love the airport of Singapore. It makes me feel similar to Hong Kong and also similar to Beijing.,place,keyword_match_score_2
e52f240d-06b0-4f79-9d4a-be54f89ee867,One thing I really enjoyed in Singapore is the hawker markets. I really enjoy seeing all of the different foods from different countries and different cultures and enjoying the food myself but also just watching everybody else enjoy the food and enjoy just the atmosphere.,place,manual_override
74229131-165e-4fa4-ad83-3de31abaf56a,Roll,noise,single_word_no_theme_match
16ecf790-4f7d-4f45-9eec-11de1955378d,"the So hopefully we'll be able to engage in conversation Yeah, so this is Sent okay, we've been doing it's we've been asking Flowery and using our system it will translate your sentence I Need to confess I have It's like",noise,manual_exclude_list
e0852b39-08f3-416c-bc03-854d75827e7c,Lavender smell.,nature,keyword_match_score_1
e9f9fed0-6c65-4c60-8093-cd9214ac41f1,"Okay, so this is a story of one of the best meals of my life at Spring Court, which is one of the oldest Chinese family-owned restaurants in Singapore. We had papaya, we had something delicious in a bun, and it was also a really great combination of flavors and scents and textures.",place,manual_override
90649cc7-b492-4f9f-a51f-bccd542c6dbd,렛츠 야키니쿠,other,keyword_match_score_0
97afde2c-ccba-4378-b1b2-a6e16a13f57b,I have a memory of going to McDonald's and have a French fries and a Big Mac.,food,keyword_match_score_3
89274806-4c7c-4218-921c-46e5233c669a,I have a memory of going to McDonald's and have a French fries and a Big Mac.,food,keyword_match_score_3
462bc443-dc41-46d8-9e8a-5b6edab66265,I went to the night safari the day before yesterday and met a lot of wild animals in the night. I can see their movements and smell some of their smell.,nature,keyword_match_score_2
b4d9536d-a376-40fa-a478-0998c390ce79,"Well, I was at this, like, uh, hell museum place, and then there was, like, they made some, like, figures of these, like, Chinese deities, and, like, you know, like, hell, like the 30 days of hell, the first day, you're supposed to do, you're supposed to go through this part, and then, like, they're gonna torture you, and, like, give you pain, all kinds of stuff like that.",place,manual_override
64a0ca48-b9b7-4fe6-8a8a-32492d4bfcab,"I have a nice lunch. But every time you give it feedback, it improves.",noise,manual_override
7c029fb6-8635-4e79-ab78-da1b3e9296f2,So the experience of walking through a late afternoon tropical environment with beautifully smelling plants.,nature,keyword_match_score_1
4ececce1-5b2e-4557-9600-c200a4594b3c,So we went to the 9th Sapphira Zoo and we see tigers and lions.,nature,keyword_match_score_3
f80f5cc2-c736-475a-9bf7-dab122400a31,the scent of an ocean,nature,keyword_match_score_1
04e15f70-dc3e-4024-978e-e115096dca45,the scent of an ocean,nature,keyword_match_score_1
8cfb0561-0ef4-4585-9e9f-861c1a95a98e,Sons of the flower,nature,keyword_match_score_1
1352c864-0e8c-47df-a4c6-93209b131c42,"My favorite moment in Singapore would be the early mornings, where it's not so hot yet and you can smell the humidity in the air, but I'm not necessarily sweating because of that. Does that work?",memory,manual_override
340d0df2-d3b1-4396-b2e8-4f077b7d78b6,I smell something citrusy like a tangerine,noise,high_filler_ratio_0.29
cfc78ecc-b35a-4f3a-97f9-ecee483b786d,"For the purpose of this demo, I would like to remember being in a hawker center with a strong scent of chicken rice being cooked with lemongrass and notes of ginger and garlic.",food,keyword_match_score_5
3c47874b-f319-4f94-85b1-addf05f73f66,One of my favorite moments in Singapore was at the Botanical Gardens. There were lots of cool trees and plants and they had an orchid exhibition at the time. It was beautiful.,nature,keyword_match_score_5
0cfb5371-a7d1-4211-9003-51544986412f,The best moment is when I enter a room with AC and probably with Mr. Coconuts on my hand.,place,keyword_match_score_1
4ef353bf-282c-4f93-8e5b-a7b9c6bcff4a,"My favorite moment in Singapore was walking on the bridge, which is the furthest point in Southeast Asia. Wow.",place,keyword_match_score_1
6ac26329-4bea-4890-962b-78ebacc63b25,"Walking by the beach, I smelled a fish. I looked down. I saw a fishing net. I picked it up. It was tangled with another net. Actually, I fished it this morning, but you can take a look at the paper. I will. I definitely will. Thank you.",food,keyword_match_score_1
3536bff6-adb7-4f6f-9659-61fe570d942b,"그래서 한국어, 일본어, 중국어 할 수 있나요? D.I.S 와서 친구들 만난 거? D.I.S와서 친구들 만난 거? D.I.S와서 친구들 만난 거?",noise,repeated_phrase_candidate
b4f086aa-cdfa-44e2-9522-51d96c139642,I'm walking through a forest and I see many many fragrant fragrant trees and shrubs many of those could be cultivated for and to produce spices I love that,nature,keyword_match_score_2
8dee56f2-6359-43a8-a5ee-de91880013ce,Rush hour on a crowded street in New York City. There are shops open with food out. There are cars honking and smell and like exhaust pipe emissions. There are a lot of people with all different clones and everything and it's very overwhelming in the second step.,place,keyword_match_score_4
91837d2d-b97a-466c-b4e2-fb649ae66cf1,"And whenever you're ready, you should start describing. Oh, what do I describe? Talk about something that you want to smell or an experience that you have in mind. I'd love to smell a cup of coffee, freshly ground coffee. You can describe a place as well, a setting. A busy cafe in Paris where you can see the Eiffel Tower and you're having a chocolate croissant with your coffee. It smells like bread and pastries as well.",food,manual_override
6b625f23-9514-43cb-8d89-43b37ab86d09,"library, and they use 3D painting for people that need accessibility, and I saw the studio use weird toddler wheelchair with open soles, and they use 3D painting to paint the piece of the wheelchair step by step, and just piece them together, and seeing the toddler just driving the wheelchair makes me very happy.",noise,repeated_phrase_candidate
449ab364-3e05-4a9f-b59c-5252d95e54d6,"Oh, should I say something? Okay. Is it about the feeling? I feel nostalgic when I visit Singapore because I used to be in exchange program a very long time ago. And I thought I forgot everything, but I just pick up something while I'm walking around. Can you describe a memory that came back to you recently? Anything? Memory is not feeling. It's about anecdotes or something. Try a scent of nostalgia.",noise,facilitator_question_pattern
1069e79b-3211-4b2e-96e8-dd1affc5b6d7,So when I was first in Edinburgh and there's a lot of teenagers smoking Mariana in the city park and from my country everybody says like illegal things so I never smelled Mariana before but when I get there like wait a second that's exactly what my grandma smoked so my grandma would smell like a water bomb so you put some of these herbs but not Mariana inside the bomb and you use the water to boil it and we're like so yeah it reminds me of my grandma the first time I studied abroad,memory,manual_override
08860772-6396-458c-a80f-2f2dd7c7d188,"What was your name? Family. Should I just shoot the keywords? Yeah. Oh, oh. Family. Yeah, I didn't know that. I just learned it yesterday. That's so effective. Yeah. Happiness. My second year. Yeah. Sounds like my luck. Oh, shit. So much.",noise,facilitator_question_pattern
b9b85e4e-fa4e-4071-9252-339944919ae8,"Hi, I'm talking with different people in the conference and meeting new friends.",memory,keyword_match_score_1
b884f48a-8d10-4e52-9352-e84305bfe6cf,"Saya rasa mungkin saya berfikir tentang perayaan nasional Ya, apabila kami berkumpul untuk merayakan hari jadi Singapura Ya Okey Saya suka itu",other,keyword_match_score_0
4c3d7fde-5232-4266-9a69-44b36d51e4bc,"Any smell that you want or an experience that you've had somewhere here? It's probably in English or in German. Whatever you'd like. Oh, wow. Okay, thank you. Thank you so much. You have to come closer.",noise,facilitator_question_pattern
20fdb67e-d359-4f37-9d68-4b41e89c0d42,"Mexican taco? Mexican taco, yeah. Okay.",food,manual_override
85b0ed2c-92b9-48d7-bef4-aab0e616dcb1,That's why I need to describe it. So I met a person yesterday and this person was a friend of the pastor that I met in another city. I asked her a lot of questions and she was explaining and answering my questions. I feel like there is a really special relationship between me and her and that's all. Thank you.,other,manual_override
b34e1fe1-0c4e-442f-8e14-1297b390b6a5,他會問我問題是嗎? 喔不用 你就直接開始講就可以了 就是moment 講中文也可以 好 有些什麼example嗎? 我突然不知道要講什麼 比如說去哪裡吃了什麼東西啊 有什麼味道啊 你可以去形容一下 嗯 我想一下 喔今天早上我們去了雅昆吃早餐 然後跟我們在荷蘭吃的東西比起來 它就是更甜 然後有一種很久沒有吃到這種味道的感覺 跟荷蘭吃的東西比起來 感覺雖然沒有那麼健康 但是更幸福 完美,other,keyword_match_score_0
0ce1c54b-5891-4ba7-b8e5-5d29cda1dccb,"Walking around, I guess it's called, an area called Tanjung Pagar, there's this beautiful shop houses on the right and left side, I'm going to coffee shops, and yeah, I'm just intrigued by the beauty heritage of the details of the architecture, and the shop walks, I think that's, that was really nice.",place,manual_override
ac976b58-bd56-4668-9f28-7a675d4f41b0,I'm looking for an experience that feels like waking up on a sunny morning and witnessing the song of birds.,nature,keyword_match_score_1
0ee556c7-5d4b-4e72-8bd1-ed34b7137f64,I would like to hear a scent that is like waking up in the morning to the sound of birds and sunshine blooming through my window.,nature,keyword_match_score_1
d489b4ad-3484-470d-bbe2-fbcbdb3cbaed,"Describe what I see. What you're seeing, what you're feeling, where you're going. Okay. I see trees. I hear birds. I'm stepping on sand. I see sun rays. It's in the morning. There are a few fellow hikers. I feel sweaty.",nature,keyword_match_score_1
196a658c-4e58-4d4d-900c-76faa8f58cb6,"It's supposed to be in a story form format, it can be as simple as I had bread or it can be as fun as I went to the gardens. I think walking through the streets and experiencing all the different types of cultures as well as the colorful architectures and the different people that were there, just experiencing the environment and the vibes of the people was really interesting.",noise,repeated_phrase_candidate
0739bea8-f3e4-433f-9937-187891a6dc26,"I would like to represent something happy with a floating fish, peace in the cloud. Yeah, and in Singapore.",nature,manual_override
5c1fc98c-2597-4c06-bb34-600c3ff3f372,"Ice in the Cloud. Wow, really? In Singapore? Who has that? That was from a previous participant. I think they had peace in the cloud. Happy. So it can be more abstract too. It doesn't have to be very realistic or specific.",noise,repeated_phrase_candidate
76ed2b1a-7c8c-4282-8f25-2bba6f44d436,"The vibrant yellow item held right up to the woman's face is the focal point of the sensory experience. Its appearance suggests a sweet, tropical, and tangy aroma—reminiscent of freshly cut mango, citrus, or a sweet baked confection. She is holding the item directly beneath her nose and mouth. Her crinkled nose and wide, ecstatic smile suggest that the scent of the food is part of the joy of the moment—evoking the mouth-watering, appetizing smell of a sweet treat shared between friends. The indoor setting and the couple's relaxed attire suggest a casual, shared meal or snack break. The air would likely carry the faint, comforting scent of a clean, air-conditioned indoor space mixed with the sudden, sharp burst of sweetness from the yellow fruit.",food,keyword_match_score_4
6ea73c8a-8175-443f-b892-97073aa344c2,"The vibrant yellow item held right up to the woman's face is the focal point of the sensory experience. Its appearance suggests a sweet, tropical, and tangy aroma—reminiscent of freshly cut mango, citrus, or a sweet baked confection. She is holding the item directly beneath her nose and mouth. Her crinkled nose and wide, ecstatic smile suggest that the scent of the food is part of the joy of the moment—evoking the mouth-watering, appetizing smell of a sweet treat shared between friends. The indoor setting and the couple's relaxed attire suggest a casual, shared meal or snack break. The air would likely carry the faint, comforting scent of a clean, air-conditioned indoor space mixed with the sudden, sharp burst of sweetness from the yellow fruit.",food,keyword_match_score_4
242bdc28-c065-4a7a-8904-9400108a6f25,"The Scent of Fresh Fruit: The vibrant yellow item held right up to the woman's face is the focal point of the sensory experience. Its appearance suggests a sweet, tropical, and tangy aroma—reminiscent of freshly cut mango, citrus, or a sweet baked confection.  Proximity and Olfactory Reaction: She is holding the item directly beneath her nose and mouth. Her crinkled nose and wide, ecstatic smile suggest that the scent of the food is part of the joy of the moment—evoking the mouth-watering, appetizing smell of a sweet treat shared between friends.  The Atmosphere: The indoor setting and the couple's relaxed attire suggest a casual, shared meal or snack break. The air would likely carry the faint, comforting scent of a clean, air-conditioned indoor space mixed with the sudden, sharp burst of sweetness from the yellow fruit.",food,manual_override
29865c41-afea-48bf-a134-b7b7eea12b53,"The Scent of Fresh Fruit: The vibrant yellow item held right up to the woman's face is the focal point of the sensory experience. Its appearance suggests a sweet, tropical, and tangy aroma—reminiscent of freshly cut mango, citrus, or a sweet baked confection.  Proximity and Olfactory Reaction: She is holding the item directly beneath her nose and mouth. Her crinkled nose and wide, ecstatic smile suggest that the scent of the food is part of the joy of the moment—evoking the mouth-watering, appetizing smell of a sweet treat shared between friends.  The Atmosphere: The indoor setting and the couple's relaxed attire suggest a casual, shared meal or snack break. The air would likely carry the faint, comforting scent of a clean, air-conditioned indoor space mixed with the sudden, sharp burst of sweetness from the yellow fruit.",food,manual_override
dda3afe5-5930-48ce-8eb7-094465995e39,"In a sun-drenched moment, laughter mingles with the sweet, tangy aroma of citrus, as the air is infused with a zest that dances playfully around warm smiles. The warmth of companionship wraps around like a soft, worn blanket, complemented by the smooth texture of a golden treat resting in eager hands. Joy fills the space, a vibrant spark that lifts the spirit, inviting you to savor every delicious bite of life’s little pleasures.",nature,manual_override
a806d0a1-28ef-4f30-9ac9-abea536f76ff,"Amidst the warm, inviting space, the air is imbued with sweet notes of citrus, a bright burst of sun-kissed lemons teasing the senses. Laughter dances like a gentle breeze, wrapping around softened textures and soothing crispness, creating a mood of carefree joy. The subtle warmth of camaraderie envelops the scene, a fragrant embrace of shared delights and the refreshing zing of spontaneity.",nature,manual_override
0c7a7637-24dd-4ab0-8d6a-cc51f42c6b78,"Laughter hangs in the air like the sweet aroma of freshly baked pastries, warm and inviting, wrapping around you like a familiar embrace. The rich scent of citrus zest dances playfully, mingling with the soft chatter of friends, creating an atmosphere pulsing with joy and camaraderie. Textures of softness and warmth radiate from cozy surroundings, where every smile feels like a sunbeam, brightening even the most mundane corners of the day.",memory,manual_override
04bae216-725b-4cd0-84dd-9c56653e3df9,Should I have it first or should I talk about it first? Maybe we can do one where you have it without the smell and then another one with the smell.,noise,facilitator_question_pattern
ad4c1f78-0f53-409b-88d7-55df2823aa3a,I want something sour,other,keyword_match_score_0
ab0c31c2-923a-4d52-9aa7-6a21f51146b0,"Okay, so my favorite meal I've had whilst I was here was this really nice tender chicken. It was very soft, it was ever so slightly spicy, however simultaneously it was particularly nice with garlic. So overall it had this tender and nice softness of the food.",food,keyword_match_score_4
fc7daf34-82b9-4573-8abb-026a1ded4f45,"Oh, tough question. I like chocolate mousse. Chocolate mousse? Yeah. Where, maybe you can describe your setting. Oh yeah, I like to eat it in a nice restaurant on the seaside, perhaps also with some mango on the side or something. Okay, I love that.",food,manual_override
